exhibit_id,title,category,subcategory,room,location_type,location,asset_number,manufacturer,era,exhibit_desc
1,Title1,,,Hallway to Curtiss Room,near Ladie,Ceiling,1897,,1897,"The prototype Bell Model 47, c/n 1 was awarded the world’s first commercial helicopter license, NC-1H, on March 6, 1946. The one pictured here is the fifth Model 47 built and was licensed as NC-3H. Production followed, both civil and military, with totals reaching 416 by the end of 1952. Production of the Model 47 ended in 1973.

Bell Model 47 serial number 5’s initial registration number was NX92842. It became NC-3H and was assigned to the new Bell Helicopter pilot training school. This is the only survivor of the original 11 Bell Model 47s. The helicopter was certified on May 10, 1946 and the first flight was on May 14, 1946. Larry Bell donated the helicopter to the Burgard Vocational High School Aviation Department in Buffalo, New York, to train students to work on helicopters in their aircraft mechanics license course on June 23,1947.

In 1995 and 1996, a team of retired Bell employees working in donated space at Prior Aviation volunteered over 2,000 hours of their time to fully restore this historic aircraft.

The restoration tem members were: Gerald Bainbridge, Jack Bainbridge, Clinton Brockway, Robert L. Brown, John Curran, Nelson Faso, Murray Greenspan, William Kahn (Crew Chief), Richard Clemann, Leonard Nisiak, Donald Ronald, and William Sinon.

This restoration project was supported with funding from the Bell Fund of the Buffalo Foundation. This helicopter is on loan from the Buffalo and Erie County Historical Society.

What is an “N-number”?
“N-numbers” are the identification numbers required to be applied to licensed aircraft in the United States. Other countries have different letters for their identification numbers. NC-3H was registered at a time when there was another letter after the “N” that indicated the aircraft’s airworthiness category, such as “C” for standard, “R” for restricted, “X” for experimental, and later an “L” for limited. (Federal Aviation Administration, 2017) Since 1949, only N-numbers are used, such as N-1234

You can read more about the history of the FAA’s (and its predecessors’) identification numbering requirements here."
2,1908 June Bug,,,,,,1898,,1908,"The prototype Bell Model 47, c/n 1 was awarded the world’s first commercial helicopter license, NC-1H, on March 6, 1946. The one pictured here is the fifth Model 47 built and was licensed as NC-3H. Production followed, both civil and military, with totals reaching 416 by the end of 1952. Production of the Model 47 ended in 1973.

Bell Model 47 serial number 5’s initial registration number was NX92842. It became NC-3H and was assigned to the new Bell Helicopter pilot training school. This is the only survivor of the original 11 Bell Model 47s. The helicopter was certified on May 10, 1946 and the first flight was on May 14, 1946. Larry Bell donated the helicopter to the Burgard Vocational High School Aviation Department in Buffalo, New York, to train students to work on helicopters in their aircraft mechanics license course on June 23,1947.

In 1995 and 1996, a team of retired Bell employees working in donated space at Prior Aviation volunteered over 2,000 hours of their time to fully restore this historic aircraft.

The restoration tem members were: Gerald Bainbridge, Jack Bainbridge, Clinton Brockway, Robert L. Brown, John Curran, Nelson Faso, Murray Greenspan, William Kahn (Crew Chief), Richard Clemann, Leonard Nisiak, Donald Ronald, and William Sinon.

This restoration project was supported with funding from the Bell Fund of the Buffalo Foundation. This helicopter is on loan from the Buffalo and Erie County Historical Society.

What is an “N-number”?
“N-numbers” are the identification numbers required to be applied to licensed aircraft in the United States. Other countries have different letters for their identification numbers. NC-3H was registered at a time when there was another letter after the “N” that indicated the aircraft’s airworthiness category, such as “C” for standard, “R” for restricted, “X” for experimental, and later an “L” for limited. (Federal Aviation Administration, 2017) Since 1949, only N-numbers are used, such as N-1234

You can read more about the history of the FAA’s (and its predecessors’) identification numbering requirements here."
3,1909-1924 history of flight display boards (6 panels),Airplane,,Main room,near Ladie,Wall,1910,,1909,
4,1910 Curtiss Pusher Airplane,Airplane,,Curtiss Room,Main Floor,Floo,1915,Curtiss,1910,
5,1914 rotary engine model,Model,,Curtiss Room,Display,Wall,1916,,,
6,1919 parachutes Leslie L Irvin,Photo,,Curtiss Room,,Wall,,,,
7,1925-1945 history of flight display boards (6 panels),Display Board,,Main room,Above entrance,Wall,1917,,1925,
8,1927 Col. Lindberg & mother,Photo,,Curtiss Room,,Wall,,,,
9,"1927 Col. Lindberg Spirit of St Louis Syracuse to Rochester, Rochester to Buffalo",Photo,,Curtiss Room,,Wall,1918,,,
10,1946-1981 history of flight display boards (6 panels),Display Board,,Main room,Above entrance,Wall,,,1946,
11,1947 Bell 47-5 Helicopter prototype (Fort Worth Record),Helicoptee,,Main room,,Floo,,Bell,1946,
12,1950 Bell 47 helicopter,Display Board,,Main room,Near front window,Wall,,,,
13,500th flight of X-22A,Display Board,,Main room,Above entrance,Wall,,,1984,
14,80 of changing the way the world flies timeline,Display,,Main room,,Ceiling,,,,
15,Aero Club of Buffalo Meeting poster,Photo,,Curtiss Room,,Wall,,,,
16,Aerodynamics History 1884-1896,Display Board,,Main room,near Ladie,Wall,,,1884,
17,Agena 8081 Rocket Engine,Engine,,Curtiss Room,Main Floor,Floo,,Bell,,
18,Agena Combustion Chamber,Exhibit,,Curtiss Room,Main Floor,Floo,,Bell,,
19,Agena Combustion Chamber throat,Exhibit,,Curtiss Room,Main Floor,Floo,,Bell,,
20,Agena Rocket Engine Model,Model,,Curtiss Room,Main Floor,Floo,,Bell,,
21,AHS International Vertical Flight Heritage Site,Plaqu,,Main room,,Floo,,,,
22,AIAA historic Aerospace site bronze plaque,Plaqu,,Main room,,Floo,,,,
23,Airmen greeting a damaged P-39 Sketch,Photograph,,Hallway to Curtiss Room,,Wall,736,,,
24,Allison J35 Turbojet engine cutaway,Display,,Main room,,Floo,,,,
25,Allison model 250 turboshaft engine,Engine,,Main room,Near front window,Wall,,Allison,,
26,Allison V-1710 engine,Engine,,Main room,Near P-39,Floo,,Allison,,
27,Apollo 11 liftoff photograph,Photograph,,Curtiss Room,Main Floor,Wall,,,1969,
28,Apollo Control Console,Exhibit,,Curtiss Room,Main Floor,Floo,,Consolidated,,
29,Apollo models Display Case,display case,,Curtiss Room,Main Floor,Floo,,,,
30,ARC Control Divert System model,Model,,Curtiss Room,Main Floor,Floo,,ARC,,
31,Army Air Force training command certificate,Certificate,,Wall outside ladies room,,Wall,1821,,,
32,ARO Corporation Display,display case,,Curtiss Room,Display Case,Floo,,ARO Corporation,,
33,Ascent propulsion system Saturn 5 Rocket description,Photograph,,Curtiss Room,Main Floor,Wall,,,,
34,Astronaut Maneuvering System Poster,Photograph,,Curtiss Room,Main Floor,Wall,310,,1966,
35,Astronaut Maneuvering unit,Exhibit,,Curtiss Room,Main Floor,Floo,,Bell,,
36,"Astronaut, LEM, and Moon Buggy photograph",Photograph,,Curtiss Room,Main Floor,Wall,489,,,
37,"Aviation itself is not inherently dangerous. But to an even greater degree than the sea, it is terribly unforgiving of any carelessness incapacity or neglect",Poster,,Theater,,Wall,1846,,,
38,B-17 Flying Fortress dedication plaque,Plaqu,,Curtiss Room,Display,Wall,,,,
39,B-24 Liberator dedication plaque,Plaqu,,Curtiss Room,Display,Wall,,,,
40,B-29 Enola gay model,Model,,Wall on top of Ladies room,,Wall,,Boeing,,
41,B-29 Lity of L,Model,,Wall on top of Ladies room,,Wall,,Boeing,,
42,BAe Hawk T. Mk 1A plastic model airplane kit,Model Airplane Kit,,Front Desk,,,1650,Premiere,,
43,Baldwin's Dirigibles,Display Board,,Main room,near Ladie,Wall,,,1907,
44,Beginning of flight (Golfer) Balloons 1783,Photo,,Curtiss Room,,Wall,,,,
45,BELL - Agena Rocket Engine Family,Photograph,,Curtiss Room,Main Floor,Wall,376,,,
46,BELL - Rocket Belt flying over helicopter,Photograph,,Theater,,,339,,,
47,Bell 47 helicopter engine,Photograph,,Main room,,Wall,1824,,,
48,Bell 47 helicopter engine display,Engine,,Main room,Near front window,Wall,,Bell,,
49,Bell Aerospace Air cushion vehicles,display case,,Main room,Near P-39,Wall,,,,
50,Bell Aerospace army assault Air cushion vehicles,Photograph,,Main room,Near P-39,Wall,,,,
51,Bell Airacobra formation Photo,Photograph,,Hallway to Curtiss Room,,Wall,737,,,
52,Bell Airacuda XFM-1 Model,display case,,Main room,Near P-39,Floo,,,,
53,Bell Airacuda XFM-1 Photograph,Photograph,,Main room,Near P-39,Floo,,,,
54,Bell Aircraft designed and built in WNY models display case: ~35 models,display case,,Main room,Near P-39,Floo,,,,
55,Bell Aircraft Racing Team,display case,,Main room,,Floo,,,,
56,Bell ATV VTOL Photo,Photograph,,Hallway to Curtiss Room,,Wall,742,,,
57,Bell Factory floor photos,display case,,Observation room,,Floo,,,,
58,Bell Helicopter Fort Worth TX Display Case w/29 models,display case,,Main room,,Floo,,,,
59,Bell Helicopter Rotor Mast and Stabilizer Bar Assembly,Display,,Main room,,Floo,,,,
60,Bell Minute Man post boost propulsion system Bellows Tank Photograph,Photograph,,Curtiss Room,Main Floor,Wall,809,Moog,,
61,Bell P-39 Aerocobra Model,Model,,Main room,Near P-39,Floo,,Bell,,
62,Bell P-59 Jack Wollams Photo,Photograph,,Hallway to Curtiss Room,,Wall,733,,,
63,Bell propellant Tank photograph,Photograph,,Curtiss Room,Main Floor,Wall,808,Moog,,
64,BELL X - 1,Photograph,,Main room,,LU A,671,,,
65,Bell X Aircraft Evolution poster,Poster,,Main room,On side of Display Case,,,,,
66,Bell X-1 cockpit drawing,Drawing,,Main room,,Wall,746,,,
67,Bell X-1 model in display case,display case,,Main room,,Floo,,,,
68,Bell X-1 Painting (8 panels),Painting,,Main room,,Floo,,,,
69,Bell X-1A photo,Photograph,,Hallway to Curtiss Room,,Wall,873,,,
70,Bell X-2 Model,Model,,Main room,On Display Case,,,Bell,,
71,Bell X-2 photo,Photograph,,Hallway to Curtiss Room,,Wall,874,,,
72,BELL X-2 Sweptwing with metal fragment,Photograph,,X-1 display,,MUS,747,,,
73,Bell X-22 cut away view,Display Board,,Main room,Above Display,Floo,1823,,,
74,Bell X-22 photo,Photograph,,Hallway to Curtiss Room,,Wall,790,,,
75,Bell X-22 powered model,display case,,Main room,,Floo,,,,
76,Bell XP-83 jet fighter photo,Photograph,,Hallway to Curtiss Room,,Wall,734,,,
77,BELL XS-1           Broken Frame,Photograph,,Main room,,A - 2,504,,,
78,BELL XS-1  Meeting the Challenge,Photograph,,X-1 display,,MUS,744,,,
79,Bell XS-1 rocket plane dropped by a B-29 Painting,Painting,,Hallway to Curtiss Room,,Wall,335,,,
80,Bell XS-1 rocket plane Painting,Painting,,Hallway to Curtiss Room,,Wall,1820,,,
81,Bell-47 Helicopter Transmission,Display,,Main room,,Floo,,,,
82,Bell/Moog heritage display Panel,Display Board,,Curtiss Room,Main Floor,Floo,,Moog,,
83,Buffalo Aviation Pioneers memorial plaque,Plaqu,,Main room,Near P-39,Floo,,,,
84,Buffalo firsts poster,Poster,,Main room,,Wall,,,,
85,C-46 Stewardess Station,Art,,Curtiss Room,Main Floor,Floo,,Curtiss,1946,
86,Captain William C. Glasgow Plaque,Plaqu,,Curtiss Room,Hallway,Wall,,,1945,
87,Captain William C. Glasgow Portrait,Portrait,,Curtiss Room,Hallway,Wall,,,1945,
88,Catalina PBY,Model,,Fleet & Consolidated Ro,,Ceiling,,,,
89,CF-AAR Biplane Model,Model,,Fleet & Consolidated Ro,,Ceiling,,,,
90,Chalmers Slick Goodlin,display case,,Main room,,Floo,,,,
91,Chuck Yeager,Photograph,,X-1 display,,Wall,1853,,,
92,Cievera Autogyro 1/2 scale replica (Pitcarin model),Replica,,Main room,near Ladie,Floo,,,1930,
93,Cobham 100 years of aviation,Photo,,Curtiss Room,,Wall,,Cobham,,
94,CONFEDERATE Air Force,Photograph,,Main room,Table,A - 1,29,,,
95,Consolidated 21C,Model,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
96,Consolidated advertising brochure for Fleetster,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
97,Consolidated Aircraft,Display Board,,Fleet & Consolidated Ro,,Floo,,,,
98,"Consolidated Aircraft  Departs Buffalo for San Diego, CA",Display Board,,Fleet & Consolidated Ro,,Wall,,,1935,
99,Consolidated Aircraft  Flying Boats,Display Board,,Fleet & Consolidated Ro,,Wall,,,,
100,Consolidated Aircraft Banner,Flag,,Fleet & Consolidated Ro,,Floo,,,,
101,Consolidated Aircraft Commodore south American pan American airways ,Poster,,Fleet & Consolidated Ro,,Floo,305,,,
102,Consolidated Aircraft Display Case (4 models),display case,,Fleet & Consolidated Ro,,Floo,,,,
103,Consolidated Aircraft: A Journey Begins,Display Board,,Fleet & Consolidated Ro,,Wall,,,1923,
104,Consolidated Clinton Warner assembling the 21C in China,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
105,Consolidated Collection of Clinton Warner personal Items: Identification card for Air core reserve,Photo,,Curtiss Room,"Display Case with Curtiss, Consolidated and Elias Brothers shelf",Consolidated,,Consolidated,,
